"","ID","Paper","Language","N","FFD_N1_val","FFD_N1_val_SD","FFD_N1_inval","FFD_N1_inval_SD","FFD_N1_inval_RAN","FFD_N1_inval_RAN_SD","FFD_N1_inval_X","FFD_N1_inval_X_SD","FFD_N1_inval_ORTH","FFD_N1_inval_ORTH_SD","FFD_N1_inval_UNREL","FFD_N1_inval_UNREL_SD","FFD_N1_inval_SEM","FFD_N1_inval_SEM_SD","FFD_N1_inval_PHON","FFD_N1_inval_PHON_SD","FFD_N1_inval_PSEUD","FFD_N1_inval_PSEUD_SD","GD_N1_val","GD_N1_val_SD","GD_N1_inval","GD_N1_inval_SD","GD_N1_inval_RAN","GD_N1_inval_RAN_SD","GD_N1_inval_X","GD_N1_inval_X_SD","GD_N1_inval_ORTH","GD_N1_inval_ORTH_SD","GD_N1_inval_UNREL","GD_N1_inval_UNREL_SD","GD_N1_inval_SEM","GD_N1_inval_SEM_SD","GD_N1_inval_PHON","GD_N1_inval_PHON_SD","GD_N1_inval_PSEUD","GD_N1_inval_PSEUD_SD","Total_N1_val","Total_N1_val_SD","Total_N1_inval","Total_N1_inval_SD","Total_N1_inval_RAN","Total_N1_inval_RAN_SD","Total_N1_inval_X","Total_N1_inval_X_SD","Total_N1_inval_ORTH","Total_N1_inval_ORTH_SD","Total_N1_inval_UNREL","Total_N1_inval_UNREL_SD","Total_N1_inval_SEM","Total_N1_inval_SEM_SD","Total_N1_inval_PHON","Total_N1_inval_PHON_SD","Total_N1_inval_PSEUD","Total_N1_inval_PSEUD_SD","SFD_N1_val","SFD_N1_inval","SFD_N1_val_SD","SFD_N1_inval_SD","SFD_N1_inval_RAN","SFD_N1_inval_RAN_SD","SFD_N1_inval_X","SFD_N1_inval_X_SD","FixProb_N1_val","SFD_N1_inval_ORTH","SFD_N1_inval_ORTH_SD","SFD_N1_inval_UNREL","SFD_N1_inval_UNREL_SD","SFD_N1_inval_SEM","SFD_N1_inval_SEM_SD","SFD_N1_inval_PHON","SFD_N1_inval_PHON_SD","SFD_N1_inval_PSEUD","SFD_N1_inval_PSEUD_SD"
"11",11,"Hyona & Haikio (2005)","Finnish",22,226,39,NA,NA,NA,NA,NA,NA,NA,NA,245,51,NA,NA,NA,NA,NA,NA,291,73,NA,NA,NA,NA,NA,NA,NA,NA,318,73,NA,NA,NA,NA,NA,NA,325,78,NA,NA,NA,NA,NA,NA,NA,NA,357,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"Rayner, Castelhano, & Yang (2010)","English",36,265,40,NA,NA,282,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,49,NA,NA,343,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277,NA,46,NA,301,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"Rayner, Juhasz, & Brown (2007)","English",30,288,41,NA,NA,324,46,NA,NA,NA,NA,320,43,NA,NA,NA,NA,NA,NA,327,64,NA,NA,369,56,NA,NA,NA,NA,374,56,NA,NA,NA,NA,NA,NA,374,103,NA,NA,417,89,NA,NA,NA,NA,426,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"Rayner, Juhasz, & Brown (2007), Exp. 2","English",36,293,50,NA,NA,328,51,NA,NA,NA,NA,322,61,NA,NA,NA,NA,NA,NA,319,71,NA,NA,356,73,NA,NA,NA,NA,337,65,NA,NA,NA,NA,NA,NA,355,87,NA,NA,399,101,NA,NA,NA,NA,386,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"Veldre & Andrews (2015b)","English",94,239,32,NA,NA,NA,NA,NA,NA,252,31.02,NA,NA,NA,NA,NA,NA,251,32.9,273,42.6,NA,NA,NA,NA,NA,NA,301,47.5,NA,NA,NA,NA,NA,NA,295,43.6,425,101.8,NA,NA,NA,NA,NA,NA,444,87.2,NA,NA,NA,NA,NA,NA,447,87.2,247,NA,36.8,NA,NA,NA,NA,NA,NA,260,34.9,NA,NA,NA,NA,NA,NA,262,38.7
"16",16,"Veldre & Andrews (2015a)","English",107,215,28.4,NA,NA,265,36.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.5,37.2,NA,NA,302.5,43.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288.5,61.03,NA,NA,368,63.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.5,NA,29.43,NA,278.5,40.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"Angele & Rayner (2011)","English",32,224,83,NA,NA,238,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,91,NA,NA,254,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,NA,85,NA,242,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"Yan (2015)","Chinese",42,258,44,NA,NA,NA,NA,NA,NA,NA,NA,285,46.5,NA,NA,NA,NA,278.5,48,304,55,NA,NA,NA,NA,NA,NA,NA,NA,360,78.5,NA,NA,NA,NA,349.5,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,290.5,60,NA,NA,NA,NA,280,56
"19",19,"Yen, Tsai, Tzeng, & Hung (2008)","Chinese",30,260,44.5,NA,NA,NA,NA,NA,NA,NA,NA,303,69.2,NA,NA,NA,NA,307,63.9,286,61.7,NA,NA,NA,NA,NA,NA,NA,NA,347,102.6,NA,NA,NA,NA,353,94.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"Yang, Wang, Tong, & Rayner (2012)","Chinese",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248,45,NA,NA,NA,NA,NA,NA,NA,NA,278,52,279,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,268,51,265,47,NA,NA,NA,NA
