"","ID","Paper","Language","N","FFD_N1_val","FFD_N1_val_SD","FFD_N1_inval","FFD_N1_inval_SD","FFD_N1_inval_RAN","FFD_N1_inval_RAN_SD","FFD_N1_inval_X","FFD_N1_inval_X_SD","FFD_N1_inval_ORTH","FFD_N1_inval_ORTH_SD","FFD_N1_inval_UNREL","FFD_N1_inval_UNREL_SD","FFD_N1_inval_SEM","FFD_N1_inval_SEM_SD","FFD_N1_inval_PHON","FFD_N1_inval_PHON_SD","FFD_N1_inval_PSEUD","FFD_N1_inval_PSEUD_SD","GD_N1_val","GD_N1_val_SD","GD_N1_inval","GD_N1_inval_SD","GD_N1_inval_RAN","GD_N1_inval_RAN_SD","GD_N1_inval_X","GD_N1_inval_X_SD","GD_N1_inval_ORTH","GD_N1_inval_ORTH_SD","GD_N1_inval_UNREL","GD_N1_inval_UNREL_SD","GD_N1_inval_SEM","GD_N1_inval_SEM_SD","GD_N1_inval_PHON","GD_N1_inval_PHON_SD","GD_N1_inval_PSEUD","GD_N1_inval_PSEUD_SD","Total_N1_val","Total_N1_val_SD","Total_N1_inval","Total_N1_inval_SD","Total_N1_inval_RAN","Total_N1_inval_RAN_SD","Total_N1_inval_X","Total_N1_inval_X_SD","Total_N1_inval_ORTH","Total_N1_inval_ORTH_SD","Total_N1_inval_UNREL","Total_N1_inval_UNREL_SD","Total_N1_inval_SEM","Total_N1_inval_SEM_SD","Total_N1_inval_PHON","Total_N1_inval_PHON_SD","Total_N1_inval_PSEUD","Total_N1_inval_PSEUD_SD","SFD_N1_val","SFD_N1_inval","SFD_N1_val_SD","SFD_N1_inval_SD","SFD_N1_inval_RAN","SFD_N1_inval_RAN_SD","SFD_N1_inval_X","SFD_N1_inval_X_SD","FixProb_N1_val","SFD_N1_inval_ORTH","SFD_N1_inval_ORTH_SD","SFD_N1_inval_UNREL","SFD_N1_inval_UNREL_SD","SFD_N1_inval_SEM","SFD_N1_inval_SEM_SD","SFD_N1_inval_PHON","SFD_N1_inval_PHON_SD","SFD_N1_inval_PSEUD","SFD_N1_inval_PSEUD_SD"
"31",31,"Johnson, Perea, & Rayner (2007)","English",30,264,NA,NA,NA,NA,NA,NA,NA,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,NA,NA,NA,NA,NA,NA,NA,312.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,292,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,"Johnson, Perea, & Rayner (2007), Exp.2","English",35,282,NA,NA,NA,NA,NA,NA,NA,303.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,NA,NA,NA,NA,NA,NA,NA,338.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287,NA,NA,NA,NA,NA,NA,NA,NA,312,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,"Johnson, Perea, & Rayner (2007), Exp.3","English",30,286,NA,NA,NA,NA,NA,NA,NA,310.666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,NA,NA,NA,NA,NA,NA,NA,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,NA,NA,NA,NA,NA,NA,NA,NA,319,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,"Briihl & Inhoff (1995), Exp.2","English",24,236,28.4,NA,NA,NA,NA,260,36.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,63.6,NA,NA,NA,NA,331,58.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,"Angele, Laishley, Rayner, & Liversedge (2014)","English",35,238,71,NA,NA,269,78.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,101,NA,NA,297,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,149.5,NA,NA,326.5,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,"Angele & Rayner (2013)","English",30,231,19.8,NA,NA,253,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,22.5,NA,NA,276,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,"Pollatsek, Lesch, Morris, & Rayner (1992), Exp. 2","English",40,260,NA,NA,NA,NA,NA,NA,NA,295,NA,301,NA,NA,NA,275,NA,NA,NA,306,NA,NA,NA,NA,NA,NA,NA,331,NA,349,NA,NA,NA,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,"Miellet & Sparrow (2004)","French",13,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,NA,NA,NA,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,"Binder, Pollatsek, & Rayner (1999)","English",24,235.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,250.5,NA,NA,NA,NA,NA,NA,NA,248.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,"Chace, Rayner, & Well (2005)","English",23,262,29.4,NA,NA,285,29.4,NA,NA,276,29.4,NA,NA,NA,NA,269,29.4,NA,NA,292,43,NA,NA,318,43,NA,NA,313,43,NA,NA,NA,NA,304,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,"Starr & Inhoff (2004)","English",24,308,78.3,NA,NA,330,73.4,NA,NA,NA,NA,334,83.2,NA,NA,NA,NA,NA,NA,361,88.1,NA,NA,400,117.5,NA,NA,NA,NA,398,107.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,"Angele & Rayner (2013), Exp. 2","English",40,236,81,NA,NA,248,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,115,NA,NA,322,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,218,NA,NA,400,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,"White, Rayner, & Liversedge (2005)","English",48,278.25,95.25,NA,NA,338.25,129.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294.25,112.25,NA,NA,371,146.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281.75,NA,96.25,NA,348.5,130.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,"White, Warren, & Reichle (2011)","English",32,268,130,NA,NA,273,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,141,NA,NA,298,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,"White, Warren, & Reichle (2011), Exp.2","English",36,250,92,NA,NA,280,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269,108,NA,NA,319,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,"Angele, Tran, & Rayner (2013)","English",40,250,92.3,NA,NA,290,115,NA,NA,NA,NA,283,109,NA,NA,NA,NA,NA,NA,279,115,NA,NA,322,125,NA,NA,NA,NA,318,126,NA,NA,NA,NA,NA,NA,314,152,NA,NA,398,205,NA,NA,NA,NA,392,196,NA,NA,NA,NA,NA,NA,256,NA,92.7,NA,302,108,NA,NA,NA,NA,NA,297,107,NA,NA,NA,NA,NA,NA
"47",47,"Angele, Tran, & Rayner (2013), Exp.2","English",40,234,75.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248,85.9,260,97.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,113,330,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,189,240,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,82
"48",48,"Henderson & Ferreira (1990)","English",12,230,NA,NA,NA,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257,NA,NA,NA,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,"Sereno & Rayner (2000)","English",32,266.75,NA,NA,NA,286.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284.5,NA,NA,NA,311.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,"Inhoff, Starr, & Shindler (2000)","English",20,261,40.2,NA,NA,343,89.4,NA,NA,NA,NA,309,58.1,NA,NA,NA,NA,NA,NA,276,44.7,NA,NA,367,80.4,NA,NA,NA,NA,336,53.6,NA,NA,NA,NA,NA,NA,297,49.1,NA,NA,436,116.2,NA,NA,NA,NA,378,67.1,NA,NA,NA,NA,NA,NA,261,NA,35.7,NA,351,89.4,NA,NA,NA,NA,NA,311,53.6,NA,NA,NA,NA,NA,NA
"51",51,"Kennison & Clifton (1995)","English",48,282.5,NA,NA,NA,305.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329.5,NA,NA,NA,356.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",52,"Johnson & Dunne (2012)","English",30,274,20.2,NA,NA,NA,NA,NA,NA,295,30.6,NA,NA,NA,NA,NA,NA,NA,NA,284,23,NA,NA,NA,NA,NA,NA,308,39.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277,NA,20.2,NA,NA,NA,NA,NA,NA,300,34.5,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,"Johnson & Dunne (2012), Exp.2","English",30,276,29.5,NA,NA,NA,NA,NA,NA,301,41.85,NA,NA,NA,NA,NA,NA,NA,NA,290,33.9,NA,NA,NA,NA,NA,NA,315,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,NA,38.8,NA,NA,NA,NA,NA,NA,305.5,43.2,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,"Yang, Li, Wang, Slattery, & Rayner (2014)","Chinese",39,262,37.4,NA,NA,NA,NA,NA,NA,NA,NA,270,40.55,NA,NA,NA,NA,NA,NA,321,74.9,NA,NA,NA,NA,NA,NA,NA,NA,360,81.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271,NA,43.7,NA,NA,NA,NA,NA,NA,NA,NA,279.5,56.15,NA,NA,NA,NA,NA,NA
"55",55,"Gu, Li, & Liversedge (2015)","Chinese",48,289.5,48.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324.5,55.4,357.5,110.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430,107.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,"Schotter, Lee, Reiderman, & Rayner (2015), Exp.2","English",72,225.5,32.15,NA,NA,NA,NA,NA,NA,NA,NA,241.5,38.95,235,36.45,NA,NA,NA,NA,257,44.5,NA,NA,NA,NA,NA,NA,NA,NA,276,51.75,269.5,51.75,NA,NA,NA,NA,284,56.85,NA,NA,NA,NA,NA,NA,NA,NA,316,68.25,315.5,78,NA,NA,NA,NA,230,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,251.5,48.35,243,43.65,NA,NA,NA,NA
"57",57,"McDonald (2006)","English",16,260,28,NA,NA,282,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,35,NA,NA,321,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,107,NA,NA,449,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,"Inhoff, Starr, Liu, & Wang (1998)","English",15,257,42.6,NA,NA,285,34.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,58.1,NA,NA,331,42.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,"Reingold, Reichle, Glaholt, & Sheridan (2012)","English",60,224,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255.5,49.55,276,65.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332.5,85.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227.5,NA,35.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.5,60.35
"60",60,"Payne & Stine–Morrow (2012)","English",24,222,44.1,NA,NA,252,44.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,78.3,NA,NA,307,78.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224,NA,53.8,NA,263,53.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,"Masserang & Pollatsek (2012)","English",32,246.5,NA,NA,NA,NA,NA,NA,NA,264.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,NA,NA,NA,NA,NA,NA,NA,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,435,NA,NA,NA,NA,NA,NA,NA,427.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,"Masserang & Pollatsek (2012), Exp.2","English",58,241.5,NA,NA,NA,NA,NA,NA,NA,258.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,314.5,NA,NA,NA,NA,NA,NA,NA,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,NA,NA,NA,NA,NA,NA,NA,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,"Yang (2013)","Chinese",48,241,41,NA,NA,NA,NA,NA,NA,NA,NA,268,48,NA,NA,NA,NA,NA,NA,280,69,NA,NA,NA,NA,NA,NA,NA,NA,328,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,"Yang (2013), Exp.2","Chinese",54,247,37,NA,NA,NA,NA,NA,NA,NA,NA,277,53,NA,NA,NA,NA,NA,NA,282,57,NA,NA,NA,NA,NA,NA,NA,NA,331,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,"Choi & Gordon (2014)","English",48,220,36,NA,NA,NA,NA,NA,NA,228,43,NA,NA,NA,NA,235,31,NA,NA,242,43,NA,NA,NA,NA,NA,NA,257,48,NA,NA,NA,NA,263,60,NA,NA,300,101,NA,NA,NA,NA,NA,NA,324,109,NA,NA,NA,NA,337,118,NA,NA,219,NA,35,NA,NA,NA,NA,NA,NA,224,40,NA,NA,NA,NA,229,41,NA,NA
"66",66,"Yan, Luo, & Inhoff (2014)","Chinese",36,260,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.5,37,286,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289.5,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,40
"67",67,"Williams, Perea, Pollatsek, & Rayner (2006)","English",18,258,45.6,NA,NA,NA,NA,NA,NA,273,46.35,NA,NA,NA,NA,NA,NA,NA,NA,273,65.07,NA,NA,NA,NA,NA,NA,297.5,64.5,NA,NA,NA,NA,NA,NA,NA,NA,311,138.09,NA,NA,NA,NA,NA,NA,355,106.7,NA,NA,NA,NA,NA,NA,NA,NA,266,NA,55.7,NA,NA,NA,NA,NA,NA,280,54,NA,NA,NA,NA,NA,NA,NA,NA
"68",68,"Williams, Perea, Pollatsek, & Rayner (2006), Exp.2","English",24,257,48.9,NA,NA,NA,NA,NA,NA,284,51.75,NA,NA,NA,NA,NA,NA,NA,NA,268,43.9,NA,NA,NA,NA,NA,NA,292,54.45,NA,NA,NA,NA,NA,NA,NA,NA,278,51.7,NA,NA,NA,NA,NA,NA,313.5,68,NA,NA,NA,NA,NA,NA,NA,NA,257,NA,50.8,NA,NA,NA,NA,NA,NA,286,56.55,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,"Kambe (2004)","English",36,262.333333333333,NA,NA,NA,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292.666666666667,NA,NA,NA,317.666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",70,"Kambe (2004), Exp.2","English",24,266,NA,NA,NA,NA,NA,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,NA,NA,NA,NA,NA,353.666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,"Deutsch, Frost, Pelleg, Pollatsek, & Rayner (2003)","Hebrew",30,225,23,NA,NA,NA,NA,NA,NA,238,30,NA,NA,NA,NA,NA,NA,NA,NA,257,38,NA,NA,NA,NA,NA,NA,279,55,NA,NA,NA,NA,NA,NA,NA,NA,372,90,NA,NA,NA,NA,NA,NA,400,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,"Deutsch, Frost, Pollatsek, & Rayner (2005)","Hebrew",36,225,14.7,NA,NA,NA,NA,NA,NA,241,22.5,NA,NA,NA,NA,NA,NA,NA,NA,274,22,NA,NA,NA,NA,NA,NA,295,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,"Miller, Juhasz, & Rayner (2006)","English",42,269.5,40,NA,NA,291.5,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339.5,77.5,NA,NA,368,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288.5,NA,49.5,NA,331.5,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,"Miller, Juhasz, & Rayner (2006),Exp.2","English",30,295.5,44.5,NA,NA,NA,NA,341.5,48.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326.5,49,NA,NA,NA,NA,393.5,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302.5,NA,47.5,NA,NA,NA,361.5,51.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",75,"Dare & Shillcock (2013), Exp.2","English",30,236,29.7,NA,NA,NA,NA,NA,NA,NA,NA,277.8,39,NA,NA,NA,NA,NA,NA,262.4,39,NA,NA,NA,NA,NA,NA,NA,NA,312.4,57.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,"Wakeford & Murray (n.d)","English",28,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,277,NA,NA,NA,NA,NA,NA,NA,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,"Wang & Inhoff (2010)","English",25,250,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,45,313,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367,60,333,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",78,"Wang & Inhoff (2010), Exp.2","English",16,266,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,48,317,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,44,331,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,"Wang & Inhoff (2013)","English",29,257,27.3,NA,NA,286,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,31.07,NA,NA,315,31.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,38.8,NA,NA,347,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,"Tiffin-Richards & Schroeder (2015)","German",23,212,33.5,NA,NA,NA,NA,NA,NA,219,38.3,NA,NA,NA,NA,223,38.3,NA,NA,221,47.9,NA,NA,NA,NA,NA,NA,234,47.9,NA,NA,NA,NA,236,47.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,NA,38.3,NA,NA,NA,NA,NA,NA,229,43.1,NA,NA,NA,NA,226,43.1,NA,NA
"81",81,"Shahid (2014), Exp.4","English",80,208,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251.75,44.75,217,34.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.75,64.75,243,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319.75,81.25,209.25,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.75,56.5
"82",82,"Cui, Drieghe, Bai, Yan, & Liversedge (2014)","Chinese",96,228.5,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,40.5,261,56.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,55.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
