"","Paper","Language","FFD_ms","FFD_RAN_ms","FFD_X_ms","FFD_ORTH_ms","FFD_UNREL_ms","FFD_SEM_ms","FFD_PHON_ms","FFD_PSEUD_ms","FFD_es","FFD_RAN_es","FFD_X_es","FFD_ORTH_es","FFD_UNREL_es","FFD_SEM_es","FFD_PHON_es","FFD_PSEUD_es","GD_ms","GD_RAN_ms","GD_X_ms","GD_ORTH_ms","GD_UNREL_ms","GD_SEM_ms","GD_PHON_ms","GD_PSEUD_ms","GD_es","GD_RAN_es","GD_X_es","GD_ORTH_es","GD_UNREL_es","GD_SEM_es","GD_PHON_es","GD_PSEUD_es","SFD_ms","SFD_RAN_ms","SFD_X_ms","SFD_ORTH_ms","SFD_UNREL_ms","SFD_SEM_ms","SFD_PHON_ms","SFD_PSEUD_ms","SFD_es","SFD_RAN_es","SFD_X_es","SFD_ORTH_es","SFD_UNREL_es","SFD_SEM_es","SFD_PHON_es","SFD_PSEUD_es","Total_ms","Total_RAN_ms","Total_X_ms","Total_ORTH_ms","Total_UNREL_ms","Total_SEM_ms","Total_PHON_ms","Total_PSEUD_ms","Total_es","Total_RAN_es","Total_X_es","Total_ORTH_es","Total_UNREL_es","Total_SEM_es","Total_PHON_es","Total_PSEUD_es"
"54","Yang, Li, Wang, Slattery, & Rayner (2014)","Chinese",NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,0.205092391248974,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,0.499605578963793,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,0.168947149723385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Gu, Li, & Liversedge (2015)","Chinese",NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,0.672845547785346,NA,NA,NA,NA,NA,NA,NA,72.5,NA,NA,NA,NA,NA,NA,NA,0.664442483571749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Schotter, Lee, Reiderman, & Rayner (2015), Exp.2","English",NA,NA,NA,NA,16,9.5,NA,NA,NA,NA,NA,NA,0.448025941453037,0.276425416352206,NA,NA,NA,NA,NA,NA,19,12.5,NA,NA,NA,NA,NA,NA,0.393689914299841,0.259006522565685,NA,NA,NA,NA,NA,NA,21.5,13,NA,NA,NA,NA,NA,NA,0.504402904521347,0.324932862606128,NA,NA,NA,NA,NA,NA,32,31.5,NA,NA,NA,NA,NA,NA,0.509479703478428,0.461543477736835,NA,NA
"57","McDonald (2006)","English",NA,22,NA,NA,NA,NA,NA,NA,NA,0.648040597533874,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,0.868243142124459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,0.33604122978827,NA,NA,NA,NA,NA,NA
"58","Inhoff, Starr, Liu, & Wang (1998)","English",NA,28,NA,NA,NA,NA,NA,NA,NA,0.719868085241582,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,0.824451531761103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Reingold, Reichle, Glaholt, & Sheridan (2012)","English",NA,NA,NA,NA,NA,NA,NA,31.5,NA,NA,NA,NA,NA,NA,NA,0.751765086994063,NA,NA,NA,NA,NA,NA,NA,56.5,NA,NA,NA,NA,NA,NA,NA,0.744204758185034,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,0.890647885685206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Payne & Stine–Morrow (2012)","English",NA,30,NA,NA,NA,NA,NA,NA,NA,0.680272108843537,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,0.523627075351213,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,0.724907063197026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Masserang & Pollatsek (2012)","English",NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Masserang & Pollatsek (2012), Exp.2","English",NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Yang (2013)","Chinese",NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,0.604873557097086,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,0.666088715394901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Yang (2013), Exp.2","Chinese",NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,0.656375005190604,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,0.666250563432537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Choi & Gordon (2014)","English",NA,NA,NA,8,NA,NA,15,NA,NA,NA,NA,0.201741227944276,NA,NA,0.446519548929752,NA,NA,NA,NA,15,NA,NA,21,NA,NA,NA,NA,0.329173822973208,NA,NA,0.402323951940485,NA,NA,NA,NA,5,NA,NA,10,NA,NA,NA,NA,0.133038021047548,NA,NA,0.262341618066702,NA,NA,NA,NA,24,NA,NA,37,NA,NA,NA,NA,0.228405752058895,NA,NA,0.336886075668429,NA
"66","Yan, Luo, & Inhoff (2014)","Chinese",NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,0.0998371334423977,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,0.0780650265730906,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,0.136360819020447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Williams, Perea, Pollatsek, & Rayner (2006)","English",NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,0.326253421384044,NA,NA,NA,NA,NA,NA,NA,24.5,NA,NA,NA,NA,NA,NA,NA,0.378170300737617,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,0.255210925159377,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,0.356572109264181,NA,NA,NA,NA
"68","Williams, Perea, Pollatsek, & Rayner (2006), Exp.2","English",NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,0.53629771091291,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,0.485268901614048,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,0.539515392656982,NA,NA,NA,NA,NA,NA,NA,35.5,NA,NA,NA,NA,NA,NA,NA,0.587725387803129,NA,NA,NA,NA
"69","Kambe (2004)","English",NA,22.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Kambe (2004), Exp.2","English",NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Deutsch, Frost, Pelleg, Pollatsek, & Rayner (2003)","Hebrew",NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,0.486342514373989,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,0.465406560922921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,0.307673731165126,NA,NA,NA,NA
"72","Deutsch, Frost, Pollatsek, & Rayner (2005)","Hebrew",NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,0.841907053527335,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,0.885796072624128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Miller, Juhasz, & Rayner (2006)","English",NA,22,NA,NA,NA,NA,NA,NA,NA,0.51038726089295,NA,NA,NA,NA,NA,NA,NA,28.5,NA,NA,NA,NA,NA,NA,NA,0.376137261775608,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,0.69598561669682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Miller, Juhasz, & Rayner (2006),Exp.2","English",NA,NA,46,NA,NA,NA,NA,NA,NA,NA,0.988333562817054,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,1.32614779439394,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,1.19094748549706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Dare & Shillcock (2013), Exp.2","English",NA,NA,NA,NA,41.8,NA,NA,NA,NA,NA,NA,NA,1.20588602318623,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,1.01894932184305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Wakeford & Murray (n.d)","English",NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Wang & Inhoff (2010)","English",NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,0.69377659722048,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,0.82832218795516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,0.729874484418917
"78","Wang & Inhoff (2010), Exp.2","English",NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,0.64624303307925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,0.617394906513032
"79","Wang & Inhoff (2013)","English",NA,29,NA,NA,NA,NA,NA,NA,NA,1.06227106227106,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,1.31960090119086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,1.05670103092784,NA,NA,NA,NA,NA,NA
"80","Tiffin-Richards & Schroeder (2015)","German",NA,NA,NA,7,NA,NA,11,NA,NA,NA,NA,0.194551807820673,NA,NA,0.305724269432486,NA,NA,NA,NA,13,NA,NA,15,NA,NA,NA,NA,0.271398747390397,NA,NA,0.313152400835073,NA,NA,NA,NA,14,NA,NA,11,NA,NA,NA,NA,0.343383849416811,NA,NA,0.269801595970351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Shahid (2014), Exp.4","English",NA,NA,NA,NA,NA,NA,NA,43.75,NA,NA,NA,NA,NA,NA,NA,1.16027695374976,NA,NA,NA,NA,NA,NA,NA,62.75,NA,NA,NA,NA,NA,NA,NA,1.20955076884325,NA,NA,NA,NA,NA,NA,NA,53.5,NA,NA,NA,NA,NA,NA,NA,1.18273568720375,NA,NA,NA,NA,NA,NA,NA,76.75,NA,NA,NA,NA,NA,NA,NA,1.16250772398084
"82","Cui, Drieghe, Bai, Yan, & Liversedge (2014)","Chinese",NA,NA,NA,NA,NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA,NA,0.421564377064601,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,0.624975089180723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Winskel (2011)","Thai",NA,NA,NA,9,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Wang, Inhoff, & Radach (2009)","English",NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,0.782482561237693,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,0.886134653437297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,0.79315884400903
"85","Plummer & Rayner (2012)","English",NA,NA,NA,19.25,NA,NA,NA,NA,NA,NA,NA,0.636872345626256,NA,NA,NA,NA,NA,NA,NA,21.75,NA,NA,NA,NA,NA,NA,NA,0.538025061547955,NA,NA,NA,NA,NA,NA,NA,20.5,NA,NA,NA,NA,NA,NA,NA,0.580313777049728,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,0.467718550689754,NA,NA,NA,NA
"86","Drieghe, Rayner, & Pollatsek (2005)","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,17,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Liu, Inhoff, Ye, & Wu (2002), Exp.2","Chinese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,50,NA,NA,NA,NA,NA,NA,0.276304780607956,0.739033491458439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Winskel & Perea (2013)","Thai",NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
